127.0.0.1 - - [10/Sep/2015:11:08:09 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:08:12 +0700] "GET /Spring-Security/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:08:13 +0700] "GET /Spring-Security/login HTTP/1.1" 200 2803
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:08:14 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:08:15 +0700] "POST /Spring-Security/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:08:15 +0700] "GET /Spring-Security/ HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:08:22 +0700] "GET /Spring-Security/admin HTTP/1.1" 200 17337
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:08:26 +0700] "GET /Spring-Security/admin HTTP/1.1" 200 17337
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:08:28 +0700] "GET /Spring-Security/admin HTTP/1.1" 200 17337
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:09:17 +0700] "GET /Spring-Security/admin HTTP/1.1" 200 17223
0:0:0:0:0:0:0:1 - - [10/Sep/2015:11:19:21 +0700] "GET /SpringMVCTutorial/helloworld.htm HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Sep/2015:12:30:29 +0700] "GET /Spring-Security/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2015:12:30:30 +0700] "GET /Spring-Security/signup HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [10/Sep/2015:12:30:47 +0700] "GET /Spring-Security/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2015:12:30:47 +0700] "GET /Spring-Security/login HTTP/1.1" 200 2803
0:0:0:0:0:0:0:1 - - [10/Sep/2015:12:30:49 +0700] "POST /Spring-Security/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2015:12:30:49 +0700] "GET /Spring-Security/admin HTTP/1.1" 200 17223
